2026-09-11 15:33:42 [info] Log-Datei: C:\Lager\lager-barcode-generator\log\barcode_20260911_153342_085.log
2026-09-11 15:33:42 [info] 77 Eintraege gefunden.
2026-09-11 15:33:42 [info] Vorlage: C:\Lager\lager-barcode-generator\Templates\MV-ABC.png
2026-09-11 15:33:42 [info] Ausgabe: C:\Lager\lager-barcode-generator\output
2026-09-11 15:33:42 [info] Erstellt: lagerplatz_04A01.png {"dauerMs":145}
2026-09-11 15:33:42 [info] Erstellt: lagerplatz_04A02.png {"dauerMs":128}
2026-09-11 15:33:42 [info] Erstellt: lagerplatz_04A03.png {"dauerMs":143}
2026-09-11 15:33:42 [info] Erstellt: lagerplatz_04A04.png {"dauerMs":137}
2026-09-11 15:33:42 [info] Erstellt: lagerplatz_04A05.png {"dauerMs":137}
2026-09-11 15:33:42 [info] Erstellt: lagerplatz_04A06.png {"dauerMs":142}
2026-09-11 15:33:43 [info] Erstellt: lagerplatz_04A07.png {"dauerMs":139}
2026-09-11 15:33:43 [info] Erstellt: lagerplatz_04A08.png {"dauerMs":128}
2026-09-11 15:33:43 [info] Erstellt: lagerplatz_04A09.png {"dauerMs":130}
2026-09-11 15:33:43 [info] Erstellt: lagerplatz_04A10.png {"dauerMs":138}
2026-09-11 15:33:43 [info] Erstellt: lagerplatz_04A11.png {"dauerMs":133}
2026-09-11 15:33:43 [info] Erstellt: lagerplatz_04A12.png {"dauerMs":110}
2026-09-11 15:33:43 [info] Erstellt: lagerplatz_04A13.png {"dauerMs":132}
2026-09-11 15:33:43 [info] Erstellt: lagerplatz_04A14.png {"dauerMs":138}
2026-09-11 15:33:44 [info] Erstellt: lagerplatz_04A15.png {"dauerMs":126}
2026-09-11 15:33:44 [info] Erstellt: lagerplatz_04A16.png {"dauerMs":117}
2026-09-11 15:33:44 [info] Erstellt: lagerplatz_04A17.png {"dauerMs":115}
2026-09-11 15:33:44 [info] Erstellt: lagerplatz_04A18.png {"dauerMs":113}
